tag_id,nome,hora_entrada,hora_saida,tempo_cocho,peso_animal,peso_racao,%,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:35,2025-10-06 17:55:35,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:35,2025-10-06 17:55:35,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:37,2025-10-06 17:55:37,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:41,2025-10-06 17:55:41,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:46,2025-10-06 17:55:46,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:46,2025-10-06 17:55:46,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:46,2025-10-06 17:55:46,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:48,2025-10-06 17:55:48,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:52,2025-10-06 17:55:52,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:48,2025-10-06 17:55:48,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:50,2025-10-06 17:55:50,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:55:58,2025-10-06 17:55:58,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:56:04,2025-10-06 17:56:04,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:56:04,2025-10-06 17:56:04,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:56:09,2025-10-06 17:56:09,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:56:07,2025-10-06 17:56:07,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:56:09,2025-10-06 17:56:09,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:56:11,2025-10-06 17:56:11,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:56:15,2025-10-06 17:56:15,0m 0s,77.102,-2,,
34E23000E2806A960000401CCB84F52A,Ovelha001,2025-10-06 17:57:04,2025-10-06 17:57:33,0m 29s,-1,482.769,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:58:01,2025-10-06 17:58:01,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:58:05,2025-10-06 17:58:05,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:58:10,2025-10-06 17:58:10,0m 0s,77.102,-2,,
